"root_person_id","firstname","lastname","hops","follower_count"
"471","Judy","Robinson",2,"9"
"471","Judy","Robinson",3,"27"
"471","Judy","Robinson",4,"60"
"471","Judy","Robinson",5,"153"
"477","Larry","Butler",1,"3"
"477","Larry","Butler",2,"9"
"477","Larry","Butler",3,"30"
"477","Larry","Butler",4,"63"
"477","Larry","Butler",5,"186"
"487","Shawn","Butler",1,"6"
"487","Shawn","Butler",2,"36"
"487","Shawn","Butler",3,"84"
"487","Shawn","Butler",4,"258"
"487","Shawn","Butler",5,"732"
"566","Andrea","Roberts",1,"2"
"566","Andrea","Roberts",2,"4"
"566","Andrea","Roberts",3,"18"
"566","Andrea","Roberts",4,"52"
"566","Andrea","Roberts",5,"166"
"600","Mike","Cox",1,"3"
"600","Mike","Cox",2,"9"
"600","Mike","Cox",3,"42"
"600","Mike","Cox",4,"123"
"600","Mike","Cox",5,"360"
"628","Helen","Simmons",1,"2"
"628","Helen","Simmons",2,"4"
"628","Helen","Simmons",3,"14"
"628","Helen","Simmons",4,"32"
"628","Helen","Simmons",5,"74"
"638","Donna","Ward",1,"3"
"638","Donna","Ward",2,"9"
"638","Donna","Ward",3,"18"
"638","Donna","Ward",4,"54"
"638","Donna","Ward",5,"168"
"648","Jacqueline","Gonzalez",1,"3"
"648","Jacqueline","Gonzalez",2,"9"
"648","Jacqueline","Gonzalez",3,"24"
"648","Jacqueline","Gonzalez",4,"51"
"648","Jacqueline","Gonzalez",5,"126"
"670","Brandon","Stewart",1,"4"
"670","Brandon","Stewart",2,"16"
"670","Brandon","Stewart",3,"44"
"670","Brandon","Stewart",4,"140"
"670","Brandon","Stewart",5,"456"
"736","Andrea","Peterson",1,"3"
"736","Andrea","Peterson",2,"9"
"736","Andrea","Peterson",3,"33"
"736","Andrea","Peterson",4,"102"
"736","Andrea","Peterson",5,"297"
"755","Harry","Kelly",1,"1"
"755","Harry","Kelly",2,"1"
"755","Harry","Kelly",3,"4"
"755","Harry","Kelly",4,"15"
"755","Harry","Kelly",5,"47"
"776","Annie","Reed",1,"5"
"776","Annie","Reed",2,"25"
"776","Annie","Reed",3,"65"
"776","Annie","Reed",4,"205"
"776","Annie","Reed",5,"560"
"794","Florence","Ramirez",1,"3"
"794","Florence","Ramirez",2,"9"
"794","Florence","Ramirez",3,"18"
"794","Florence","Ramirez",4,"54"
"794","Florence","Ramirez",5,"147"
"815","Deborah","Brown",1,"10"
"815","Deborah","Brown",2,"100"
"815","Deborah","Brown",3,"390"
"815","Deborah","Brown",4,"1030"
"815","Deborah","Brown",5,"2970"
"972","Jesse","Parker",1,"2"
"972","Jesse","Parker",2,"4"
"972","Jesse","Parker",3,"14"
"972","Jesse","Parker",4,"40"
"972","Jesse","Parker",5,"104"
"995","Jose","Mitchell",1,"2"
"995","Jose","Mitchell",2,"4"
"995","Jose","Mitchell",3,"18"
"995","Jose","Mitchell",4,"40"
"995","Jose","Mitchell",5,"102"
